々,0x3005 
〆,0x3006 
あ,0x3042 
い,0x3044 
う,0x3046 
え,0x3048 
お,0x304a 
か,0x304b 
が,0x304c 
き,0x304d 
ぎ,0x304e 
く,0x304f 
ぐ,0x3050 
け,0x3051 
げ,0x3052 
こ,0x3053 
ご,0x3054 
さ,0x3055 
ざ,0x3056 
し,0x3057 
じ,0x3058 
す,0x3059 
ず,0x305a 
せ,0x305b 
ぜ,0x305c 
そ,0x305d 
ぞ,0x305e 
た,0x305f 
だ,0x3060 
ち,0x3061 
ぢ,0x3062 
っ,0x3063 
つ,0x3064 
づ,0x3065 
て,0x3066 
で,0x3067 
と,0x3068 
ど,0x3069 
な,0x306a 
に,0x306b 
ぬ,0x306c 
ね,0x306d 
の,0x306e 
は,0x306f 
ば,0x3070 
ぱ,0x3071 
ひ,0x3072 
び,0x3073 
ぴ,0x3074 
ふ,0x3075 
ぶ,0x3076 
ぷ,0x3077 
へ,0x3078 
べ,0x3079 
ぺ,0x307a 
ほ,0x307b 
ぼ,0x307c 
ぽ,0x307d 
ま,0x307e 
み,0x307f 
む,0x3080 
め,0x3081 
も,0x3082 
ゃ,0x3083 
や,0x3084 
ゅ,0x3085 
ゆ,0x3086 
ょ,0x3087 
よ,0x3088 
ら,0x3089 
り,0x308a 
る,0x308b 
れ,0x308c 
ろ,0x308d 
わ,0x308f 
ゐ,0x3090 
ゑ,0x3091 
を,0x3092 
ん,0x3093 
ゝ,0x309d 
ゞ,0x309e 
ァ,0x30a1 
ア,0x30a2 
ィ,0x30a3 
イ,0x30a4 
ゥ,0x30a5 
ウ,0x30a6 
ェ,0x30a7 
エ,0x30a8 
ォ,0x30a9 
オ,0x30aa 
カ,0x30ab 
ガ,0x30ac 
キ,0x30ad 
ギ,0x30ae 
ク,0x30af 
グ,0x30b0 
ケ,0x30b1 
ゲ,0x30b2 
コ,0x30b3 
ゴ,0x30b4 
サ,0x30b5 
ザ,0x30b6 
シ,0x30b7 
ジ,0x30b8 
ス,0x30b9 
ズ,0x30ba 
セ,0x30bb 
ゼ,0x30bc 
ソ,0x30bd 
ゾ,0x30be 
タ,0x30bf 
ダ,0x30c0 
チ,0x30c1 
ヂ,0x30c2 
ッ,0x30c3 
ツ,0x30c4 
