一,0x4e00
丁,0x4e01
七,0x4e03
万,0x4e07
丈,0x4e08
三,0x4e09
上,0x4e0a
下,0x4e0b
不,0x4e0d
与,0x4e0e
丐,0x4e10
丑,0x4e11
专,0x4e13
且,0x4e14
丕,0x4e15
世,0x4e16
丘,0x4e18
丙,0x4e19
业,0x4e1a
丛,0x4e1b
东,0x4e1c
丝,0x4e1d
丞,0x4e1e
丢,0x4e22
两,0x4e24
严,0x4e25
並,0x4e26
丧,0x4e27
个,0x4e2a
丫,0x4e2b
中,0x4e2d
丰,0x4e30
串,0x4e32
临,0x4e34
丸,0x4e38
丹,0x4e39
为,0x4e3a
主,0x4e3b
丽,0x4e3d
举,0x4e3e
乃,0x4e43
久,0x4e45
么,0x4e48
义,0x4e49
之,0x4e4b
乌,0x4e4c
乍,0x4e4d
乎,0x4e4e
乏,0x4e4f
乐,0x4e50
乒,0x4e52
乓,0x4e53
乔,0x4e54
乖,0x4e56
乘,0x4e58
乙,0x4e59
乜,0x4e5c
九,0x4e5d
乞,0x4e5e
也,0x4e5f
习,0x4e60
乡,0x4e61
书,0x4e66
乩,0x4e69
买,0x4e70
乱,0x4e71
乳,0x4e73
乾,0x4e7e
了,0x4e86
予,0x4e88
争,0x4e89
事,0x4e8b
二,0x4e8c
于,0x4e8e
亏,0x4e8f
云,0x4e91
互,0x4e92
五,0x4e94
井,0x4e95
亘,0x4e98
亚,0x4e9a
些,0x4e9b
亟,0x4e9f
亡,0x4ea1
亢,0x4ea2
交,0x4ea4
亥,0x4ea5
亦,0x4ea6
产,0x4ea7
亨,0x4ea8
亩,0x4ea9
享,0x4eab
京,0x4eac
亭,0x4ead
亮,0x4eae
亲,0x4eb2
亳,0x4eb3
亵,0x4eb5
人,0x4eba
亻,0x4ebb
亿,0x4ebf
什,0x4ec0
仁,0x4ec1
仃,0x4ec3
仄,0x4ec4
仅,0x4ec5
仆,0x4ec6
仇,0x4ec7
仉,0x4ec9
今,0x4eca
介,0x4ecb
仍,0x4ecd
从,0x4ece
仑,0x4ed1
仓,0x4ed3
仔,0x4ed4
仕,0x4ed5
他,0x4ed6
仗,0x4ed7
付,0x4ed8
仙,0x4ed9
仝,0x4edd
仞,0x4ede
仟,0x4edf
代,0x4ee3
令,0x4ee4
以,0x4ee5
仨,0x4ee8
仪,0x4eea
仫,0x4eeb
们,0x4eec
仰,0x4ef0
仲,0x4ef2
仵,0x4ef5
件,0x4ef6
价,0x4ef7
任,0x4efb
份,0x4efd
仿,0x4eff
企,0x4f01
伉,0x4f09
伊,0x4f0a
伍,0x4f0d
伎,0x4f0e
伏,0x4f0f
伐,0x4f10
休,0x4f11
众,0x4f17
优,0x4f18
伙,0x4f19
会,0x4f1a
伞,0x4f1e
伟,0x4f1f
传,0x4f20
伢,0x4f22
伤,0x4f24
伥,0x4f25
伦,0x4f26
伧,0x4f27
伪,0x4f2a
伫,0x4f2b
伯,0x4f2f
估,0x4f30
伴,0x4f34
伶,0x4f36
伸,0x4f38
伺,0x4f3a
似,0x4f3c
伽,0x4f3d
佃,0x4f43
但,0x4f46
佈,0x4f48
位,0x4f4d
低,0x4f4e
住,0x4f4f
佐,0x4f50
佑,0x4f51
体,0x4f53
佔,0x4f54
何,0x4f55
佗,0x4f57
佘,0x4f58
余,0x4f59
佚,0x4f5a
佛,0x4f5b
作,0x4f5c
佝,0x4f5d
佟,0x4f5f
你,0x4f60
佣,0x4f63
佤,0x4f64
佩,0x4f69
佬,0x4f6c
佯,0x4f6f
佰,0x4f70
佳,0x4f73
佴,0x4f74
佶,0x4f76
佻,0x4f7b
佼,0x4f7c
佾,0x4f7e
使,0x4f7f
侃,0x4f83
侄,0x4f84
來,0x4f86
侈,0x4f88
例,0x4f8b
侍,0x4f8d
侏,0x4f8f
侗,0x4f97
供,0x4f9b
依,0x4f9d
侠,0x4fa0
侣,0x4fa3
侥,0x4fa5
侦,0x4fa6
侧,0x4fa7
侨,0x4fa8
侩,0x4fa9
侪,0x4faa
侬,0x4fac
侮,0x4fae
侯,0x4faf
侵,0x4fb5
便,0x4fbf
係,0x4fc2
促,0x4fc3
俄,0x4fc4
俊,0x4fca
俎,0x4fce
俏,0x4fcf
俐,0x4fd0
俑,0x4fd1
俗,0x4fd7
俘,0x4fd8
俚,0x4fda
保,0x4fdd
